5,2012,11020523,3,3,0,0,1,1,2006,0,1,1,4,0,-1,0,0,0,cluster1
9,2013,11727463,5,5,1,0,2,1,2002,0,1,10,5,0,-1,0,0,0,cluster1
10,2013,11472808,6,7,7,0,3,1,2007,0,1,10,5,3,20,0,0,0,cluster1
17,2013,11658946,8,5,0,0,1,1,1995,0,1,12,6,0,2,0,0,0,cluster1
21,2013,11487294,3,3,0,0,0,1,2012,0,1,1,2,0,0,0,0,0,cluster1
23,2012,10503868,9,5,0,0,2,1,2004,0,4,0,7,0,4,0,2,7,cluster1
26,2013,11294976,11,8,5,0,2,1,1999,0,2,10,1,0,10,0,-1,0,cluster1
27,2013,11171696,9,5,3,0,5,23,2013,0,2,0,7,0,5,0,0,0,cluster1
28,2013,11429238,12,8,0,0,2,1,2006,0,1,10,1,0,4,0,12,0,cluster1
30,2012,10448388,3,3,6,0,-1,1,2011,0,1,1,8,0,0,0,0,0,cluster1
31,2013,11487999,4,6,0,0,2,1,2008,0,1,10,8,0,-1,0,0,0,cluster1
33,2012,11000964,-1,1,0,0,2,0,2008,0,2,0,8,0,0,0,0,0,cluster1
34,2012,10715517,1,1,0,0,2,0,2011,0,1,0,8,0,0,0,0,0,cluster1
35,2013,11722540,4,4,7,0,-1,1,2006,0,1,10,1,0,0,0,0,0,cluster1
42,2012,10484274,3,3,0,0,3,1,2007,0,1,1,4,0,-1,0,0,12,cluster1
46,2012,10477496,3,3,0,0,1,1,2009,0,1,1,4,0,-1,0,0,0,cluster1
55,2012,10697194,3,3,0,0,-1,1,2003,0,1,1,8,0,0,0,0,0,cluster1
57,2013,11179028,15,8,0,0,3,1,2004,0,3,10,1,0,1,3,15,0,cluster1
61,2013,11735249,15,8,1,0,3,1,2012,0,2,10,1,0,0,0,0,0,cluster1
63,2013,11310095,3,3,-1,0,-1,1,2012,0,1,1,4,0,0,0,0,0,cluster1
65,2013,11547551,0,8,11,0,3,1,1995,0,1,10,7,0,5,0,0,0,cluster1
68,2013,11133566,3,3,0,0,2,1,2003,0,1,1,4,0,5,0,13,0,cluster1
69,2013,11807004,8,5,0,0,2,1,1979,0,2,0,7,0,-1,0,-1,0,cluster1
70,2013,11559687,12,8,-1,0,-1,1,2013,0,1,10,1,0,0,0,0,0,cluster1
72,2013,11100994,1,1,5,0,-1,0,2013,0,1,0,8,0,0,0,0,0,cluster1
75,2013,11068787,17,11,2,0,0,0,2013,0,1,0,2,0,-1,0,0,0,cluster1
76,2012,10921584,3,3,0,0,0,1,2007,0,1,1,8,0,0,0,0,0,cluster1
77,2013,11334178,18,1,0,0,2,0,1993,0,2,0,8,0,14,0,-1,0,cluster1
78,2012,10466217,5,5,-1,0,-1,1,2006,0,1,10,8,0,0,0,0,0,cluster1
79,2013,11741254,17,11,0,0,2,0,2013,0,2,0,2,0,5,0,0,0,cluster1
