0,2013,11592276,2,0,2,0,2,1,2008,0,1,10,1,0,12,0,12,12,0
1,2012,10459509,3,2,1,0,5,1,2005,0,1,1,2,0,12,0,12,12,0
2,2012,10194609,0,4,2,0,2,1,2008,0,2,10,1,0,12,0,12,12,0
3,2013,11335010,3,3,0,0,2,1,2006,0,2,1,3,0,12,0,12,12,0
4,2013,11222679,0,5,0,0,1,1,2003,0,1,10,1,0,1,9,18,20,0
5,2012,11020523,3,3,0,0,1,1,2006,0,1,1,4,0,-1,0,0,0,1
6,2012,10062965,0,0,0,0,1,1,1999,0,2,10,1,0,4,0,2,12,0
7,2012,10412210,-1,1,0,0,0,0,2003,0,1,0,4,3,15,0,12,12,0
8,2013,10939075,4,6,0,0,1,1,2011,0,3,10,1,0,12,0,12,12,0
9,2013,11727463,5,5,1,0,2,1,2002,0,1,10,5,0,-1,0,0,0,1
10,2013,11472808,6,7,7,0,3,1,2007,0,1,10,5,3,20,0,0,0,1
11,2012,10290326,4,6,0,0,2,1,2011,0,10,10,5,0,12,0,12,12,0
12,2013,10868257,0,8,5,0,0,1,2005,0,1,10,1,0,10,0,12,12,0
13,2012,10474404,7,2,0,0,0,1,2006,0,1,1,6,0,4,0,14,12,0
14,2013,11532920,1,1,0,0,3,0,2012,0,1,0,2,0,12,0,12,12,0
15,2012,10634754,0,0,2,0,0,1,1999,0,1,10,1,0,12,0,12,12,0
16,2013,11370375,0,0,4,0,2,1,2000,0,1,10,1,0,12,0,12,12,0
17,2013,11658946,8,5,0,0,1,1,1995,0,1,12,6,0,2,0,0,0,1
18,2013,10951590,4,4,3,0,4,1,2010,0,3,10,1,0,12,0,12,12,0
19,2012,10430692,0,8,0,0,1,1,1998,0,1,10,7,3,20,0,12,12,0
20,2012,10445045,0,0,4,0,6,1,2006,0,1,10,1,0,17,0,12,12,0
21,2013,11487294,3,3,0,0,0,1,2012,0,1,1,2,0,0,0,0,0,1
22,2012,10472251,0,9,5,0,7,1,2001,0,1,10,7,0,10,0,12,12,0
23,2012,10503868,9,5,0,0,2,1,2004,0,4,0,7,0,4,0,2,7,1
24,2013,11060659,3,3,3,0,5,1,2008,0,1,1,7,0,4,0,12,12,0
25,2013,11380927,10,4,2,0,3,1,2006,0,1,10,1,0,12,0,12,12,0
26,2013,11294976,11,8,5,0,2,1,1999,0,2,10,1,0,10,0,-1,0,1
27,2013,11171696,9,5,3,0,5,23,2013,0,2,0,7,0,5,0,0,0,1
